mc,icpsrLegis,congress,variable,new_value,reason
NEELY (D WV) 1st time in senate,106856,81,mc,NEELY (D WV) 2nd time in senate,discontinuous terms
NEELY (D WV) 2nd time in senate,106856,72,icpsrLegis,206856,discontinuous terms
NEELY (D WV) 2nd time in senate,106856,81,icpsrLegis,206856,discontinuous terms
PADDOCK (R NE),7148,NA,mc,PADDOCK (R NE) 1st time in senate,discontinuous terms
PADDOCK (R NE) 1st time in senate,7148,NA,icpsrLegis,107148,discontinuous terms
PADDOCK (R NE) 1st time in senate,107148,50,mc,PADDOCK (R NE) 2nd time in senate,discontinuous terms
PADDOCK (R NE) 2nd time in senate,107148,50,icpsrLegis,207148,discontinuous terms
PLATT (R NY),7483,NA,mc,PLATT (R NY) 1st time in senate,discontinuous terms
PLATT (R NY) 1st time in senate,7483,NA,icpsrLegis,107483,discontinuous terms
PLATT (R NY) 1st time in senate,107483,55,mc,PLATT (R NY) 2nd time in senate,discontinuous terms
PLATT (R NY) 2nd time in senate,107483,55,icpsrLegis,207483,discontinuous terms
REVERCOMB (R WV),7826,NA,mc,REVERCOMB (R WV) 1st time in senate,discontinuous terms
REVERCOMB (R WV) 1st time in senate,7826,NA,icpsrLegis,107826,discontinuous terms
REVERCOMB (R WV) 1st time in senate,107826,85,mc,REVERCOMB (R WV) 2nd time in senate,discontinuous terms
REVERCOMB (R WV) 2nd time in senate,107826,85,icpsrLegis,207826,discontinuous terms
SEWELL (R NJ),8379,NA,mc,SEWELL (R NJ) 1st time in senate,discontinuous terms
SEWELL (R NJ) 1st time in senate,8379,NA,icpsrLegis,108379,discontinuous terms
SEWELL (R NJ) 1st time in senate,108379,54,mc,SEWELL (R NJ) 2nd time in senate,discontinuous terms
SEWELL (R NJ) 2nd time in senate,108379,54,icpsrLegis,208379,discontinuous terms
SHERMAN (R OH),8454,NA,mc,SHERMAN (R OH) 1st time in senate,discontinuous terms
SHERMAN (R OH) 1st time in senate,8454,NA,icpsrLegis,108454,discontinuous terms
SHERMAN (R OH) 1st time in senate,108454,47,mc,SHERMAN (R OH) 2nd time in senate,discontinuous terms
SHERMAN (R OH) 2nd time in senate,108454,47,icpsrLegis,208454,discontinuous terms
SPOONER (R WI),8800,NA,mc,SPOONER (R WI) 1st time in senate,discontinuous terms
SPOONER (R WI) 1st time in senate,8800,NA,icpsrLegis,108800,discontinuous terms
SPOONER (R WI) 1st time in senate,108800,55,mc,SPOONER (R WI) 2nd time in senate,discontinuous terms
SPOONER (R WI) 2nd time in senate,108800,55,icpsrLegis,208800,discontinuous terms
STOCKTON (D NJ),8962,NA,mc,STOCKTON (D NJ) 1st time in senate,discontinuous terms
STOCKTON (D NJ) 1st time in senate,8962,NA,icpsrLegis,108962,discontinuous terms
STOCKTON (D NJ) 1st time in senate,108962,41,mc,STOCKTON (D NJ) 2nd time in senate,discontinuous terms
STOCKTON (D NJ) 2nd time in senate,108962,41,icpsrLegis,208962,discontinuous terms
TELLER (R CO),9246,NA,mc,TELLER (R CO) 1st time in senate,discontinuous terms
TELLER (R CO) 1st time in senate,9246,NA,icpsrLegis,109246,discontinuous terms
TELLER (R CO) 1st time in senate,109246,49,mc,TELLER (R CO) 2nd time in senate,discontinuous terms
TELLER (R CO) 2nd time in senate,109246,49,icpsrLegis,209246,discontinuous terms
THOMAS (R ID),9298,NA,mc,THOMAS (R ID) 1st time in senate,discontinuous terms
THOMAS (R ID) 1st time in senate,9298,NA,icpsrLegis,109298,discontinuous terms
THOMAS (R ID) 1st time in senate,109298,76,mc,THOMAS (R ID) 2nd time in senate,discontinuous terms
THOMAS (R ID) 2nd time in senate,109298,76,icpsrLegis,209298,discontinuous terms
WARREN (R WY),9842,NA,mc,WARREN (R WY) 1st time in senate,discontinuous terms
WARREN (R WY) 1st time in senate,9842,NA,icpsrLegis,109842,discontinuous terms
WARREN (R WY) 1st time in senate,109842,54,mc,WARREN (R WY) 2nd time in senate,discontinuous terms
WARREN (R WY) 2nd time in senate,109842,54,icpsrLegis,209842,discontinuous terms
WHYTE (D MD),10082,NA,mc,WHYTE (D MD) 1st time in senate,discontinuous terms
WHYTE (D MD) 1st time in senate,10082,NA,icpsrLegis,110082,discontinuous terms
WHYTE (D MD) 1st time in senate,110082,44,mc,WHYTE (D MD) 2nd time in senate,discontinuous terms
WHYTE (D MD) 1st time in senate,110082,59,mc,WHYTE (D MD) 2nd time in senate,discontinuous terms
WHYTE (D MD) 2nd time in senate,110082,44,icpsrLegis,210082,discontinuous terms
WHYTE (D MD) 2nd time in senate,110082,59,icpsrLegis,210082,discontinuous terms
COOPER (R KY),2052,NA,mc,COOPER (R KY) 1st time in senate,discontinuous terms
COOPER (R KY) 1st time in senate,2052,NA,icpsrLegis,102052,discontinuous terms
COOPER (R KY) 1st time in senate,102052,83,mc,COOPER (R KY) 2nd time in senate,discontinuous terms
COOPER (R KY) 2nd time in senate,102052,83,icpsrLegis,202052,discontinuous terms
COOPER (R KY) 2nd time in senate,202052,85,mc,COOPER (R KY) 3rd time in senate,discontinuous terms
COOPER (R KY) 3rd time in senate,202052,85,icpsrLegis,302052,discontinuous terms
MITCHELL (R OR),6565,NA,mc,MITCHELL (R OR) 1st time in senate,discontinuous terms
MITCHELL (R OR) 1st time in senate,6565,NA,icpsrLegis,106565,discontinuous terms
MITCHELL (R OR) 1st time in senate,106565,49,mc,MITCHELL (R OR) 2nd time in senate,discontinuous terms
MITCHELL (R OR) 2nd time in senate,106565,49,icpsrLegis,206565,discontinuous terms
MITCHELL (R OR) 2nd time in senate,206565,57,mc,MITCHELL (R OR) 3rd time in senate,discontinuous terms
MITCHELL (R OR) 3rd time in senate,206565,57,icpsrLegis,306565,discontinuous terms
NEELY (D WV),6856,NA,mc,NEELY (D WV) 1st time in senate,discontinuous terms
NEELY (D WV) 1st time in senate,6856,NA,icpsrLegis,106856,discontinuous terms
NEELY (D WV) 1st time in senate,106856,72,mc,NEELY (D WV) 2nd time in senate,discontinuous terms
NEELY (D WV) 2nd time in senate,106856,72,icpsrLegis,206856,discontinuous terms
NEELY (D WV) 2nd time in senate,206856,81,mc,NEELY (D WV) 3rd time in senate,discontinuous terms
NEELY (D WV) 3rd time in senate,206856,81,icpsrLegis,306856,discontinuous terms
WHYTE (D MD),10082,NA,mc,WHYTE (D MD) 1st time in senate,discontinuous terms
WHYTE (D MD) 1st time in senate,10082,NA,icpsrLegis,110082,discontinuous terms
WHYTE (D MD) 1st time in senate,110082,44,mc,WHYTE (D MD) 2nd time in senate,discontinuous terms
WHYTE (D MD) 2nd time in senate,110082,44,icpsrLegis,210082,discontinuous terms
WHYTE (D MD) 2nd time in senate,210082,59,mc,WHYTE (D MD) 3rd time in senate,discontinuous terms
WHYTE (D MD) 3rd time in senate,210082,59,icpsrLegis,310082,discontinuous terms
